tags_collected, collisions_in_seconds, time_in_minutes, random_seed
1, 11.4531, 0.584375, 301699
2, 22.5156, 1.28438, 254720
12, 136.594, 2.38385, 611070
3, 19.2969, 1.25104, 754813
3, 29.7188, 0.819271, 392060
7, 58.3125, 2.2849, 704859
5, 26.2656, 1.35104, 62741
2, 24.1719, 0.684375, 974444
13, 52.5625, 2.76771, 447357
0, 3.46875, 0.127604, 806904
12, 77.9375, 3.23385, 649966
20, 181.453, 4, 257365
15, 124.672, 4, 146027
5, 48.3594, 2.30052, 912797
0, 104.594, 0.558854, 912797
0, 212.953, 0.784375, 912797
19, 202.391, 4, 839765
8, 378.938, 4, 839765
4, 830.906, 4, 839765
6, 1069.95, 4, 839765
12, 1449.94, 4, 839765
10, 318.125, 4, 849328
15, 139.031, 4, 827861
6, 47.25, 1.65052, 957181
12, 246.203, 4, 957181
10, 52.4531, 2.28437, 684465
1, 11.1562, 0.483854, 957535
19, 120.438, 4, 251581
