tags_collected, collisions_in_seconds, time_in_minutes, random_seed
18, 158.219, 4, 817915
15, 351.797, 4, 81402
21, 119.672, 4, 316661
25, 139.984, 4, 925644
18, 160.219, 4, 469287
18, 211.922, 4, 36941
19, 286.234, 4, 918265
17, 141.016, 4, 654393
16, 174.906, 4, 557429
17, 175.453, 4, 731039
14, 298.875, 4, 185571
20, 121.484, 4, 897691
10, 124.203, 4, 843919
16, 242.828, 4, 634249
12, 90.2031, 4, 615953
10, 321.297, 4, 377643
19, 211, 4, 816510
14, 90.5, 4, 430988
20, 149.328, 4, 722020
18, 127.703, 4, 66118
12, 76.9375, 4, 165638
15, 137.797, 4, 264042
14, 130.203, 4, 709739
18, 166.188, 4, 757618
15, 108.172, 4, 718443
