Robot,Trajectory,X,Y,Timestep,Congestion,Velocity
F00,1,-0.306668,0.915566,13.0,1,0.1600178742016027
F00,1,-0.30525,0.910772,13.03125,1,0.15997811050265465
F00,1,-0.303832,0.905977,13.0625,1,0.16000879655818934
F00,1,-0.302413,0.901182,13.09375,1,0.1600178742016027
F00,1,-0.300995,0.896388,13.125,1,0.15997811050265806
F00,1,-0.299577,0.891593,13.15625,1,0.16000879655818934
F00,1,-0.298159,0.886799,13.1875,1,0.15997811050265465
F00,1,-0.29674,0.882004,13.21875,1,0.1600178742016027
F00,1,-0.295322,0.877209,13.25,1,0.16000879655818934
F00,1,-0.293904,0.872415,13.28125,1,0.15997811050265465
F00,1,-0.292485,0.86762,13.3125,1,0.16001787420160613
F00,1,-0.291067,0.862825,13.34375,1,0.16000879655818884
F00,1,-0.289649,0.858031,13.375,1,0.15997811050265515
F00,1,-0.28823,0.853236,13.40625,1,0.1600178742016027
F00,1,-0.286812,0.848442,13.4375,1,0.15997811050265465
F00,1,-0.285394,0.843647,13.46875,1,0.16000879655818934
F00,1,-0.283975,0.838852,13.5,1,0.1600178742016027
F00,1,-0.282557,0.834058,13.53125,1,0.15997811050265806
F00,1,-0.281139,0.829263,13.5625,1,0.16000879655818934
F00,1,-0.27972,0.824468,13.59375,1,0.1600178742016022
F00,1,-0.278302,0.819674,13.625,1,0.15997811050265515
F00,1,-0.276884,0.814879,13.65625,1,0.16000879655818884
F00,1,-0.275466,0.810085,13.6875,1,0.15997811050265515
F00,1,-0.274047,0.80529,13.71875,1,0.16001787420160613
F00,1,-0.272629,0.800495,13.75,1,0.16000879655818884
F00,1,-0.271211,0.795701,13.78125,1,0.15997811050265515
F00,1,-0.269792,0.790906,13.8125,1,0.1600178742016027
F00,1,-0.268374,0.786111,13.84375,1,0.16000879655818884
F00,1,-0.266956,0.781317,13.875,1,0.15997811050265465
F00,1,-0.265537,0.776522,13.90625,1,0.1600178742016027
F00,1,-0.265057,0.7749,13.9375,1,0.05412905703963516
F00,1,-0.265057,0.7749,13.96875,1,0.0
F00,1,-0.265057,0.7749,14.0,1,0.0
F00,1,-0.265057,0.7749,14.03125,1,0.0
F00,1,-0.265057,0.7749,14.0625,1,0.0
F00,1,-0.265057,0.7749,14.09375,1,0.0
F00,1,-0.265057,0.7749,14.125,1,0.0
F00,1,-0.265057,0.7749,14.15625,1,0.0
F00,1,-0.265057,0.7749,14.1875,1,0.0
F00,1,-0.265057,0.7749,14.21875,1,0.0
F00,1,-0.265057,0.7749,14.25,1,0.0
F00,1,-0.265057,0.7749,14.28125,1,0.0
F00,1,-0.265057,0.7749,14.3125,1,0.0
F00,1,-0.265057,0.7749,14.34375,1,0.0
F00,1,-0.265057,0.7749,14.375,1,0.0
F00,1,-0.265057,0.7749,14.40625,1,0.0
F00,1,-0.265057,0.7749,14.4375,1,0.0
F00,1,-0.265057,0.7749,14.46875,1,0.0
F00,1,-0.265057,0.7749,14.5,1,0.0
F00,1,-0.265057,0.7749,14.53125,1,0.0
F00,1,-0.265057,0.7749,14.5625,1,0.0
F00,1,-0.265057,0.7749,14.59375,1,0.0
F00,1,-0.265057,0.7749,14.625,1,0.0
F00,1,-0.265057,0.7749,14.65625,1,0.0
F00,1,-0.265057,0.7749,14.6875,1,0.0
F00,1,-0.265057,0.7749,14.71875,1,0.0
F00,1,-0.265057,0.7749,14.75,1,0.0
F00,1,-0.265057,0.7749,14.78125,1,0.0
F00,1,-0.265057,0.7749,14.8125,1,0.0
F00,1,-0.265057,0.7749,14.84375,1,0.0
F00,1,-0.265057,0.7749,14.875,1,0.0
F00,1,-0.265057,0.7749,14.90625,1,0.0
F00,1,-0.265057,0.7749,14.9375,1,0.0
F00,1,-0.265057,0.7749,14.96875,1,0.0
F00,1,-0.265057,0.7749,15.0,1,0.0
F00,1,-0.265057,0.7749,15.03125,1,0.0
F00,1,-0.265057,0.7749,15.0625,1,0.0
F00,1,-0.265057,0.7749,15.09375,1,0.0
F00,1,-0.265057,0.7749,15.125,1,0.0
F00,1,-0.265057,0.7749,15.15625,1,0.0
F00,1,-0.265057,0.7749,15.1875,1,0.0
F00,1,-0.265057,0.7749,15.21875,1,0.0
F00,1,-0.265057,0.7749,15.25,1,0.0
F00,1,-0.265057,0.7749,15.28125,1,0.0
F00,1,-0.268227,0.773952,15.3125,1,0.10587892375728115
F00,1,-0.273022,0.772535,15.34375,1,0.15999972479976315
F00,1,-0.277817,0.77112,15.375,1,0.1599815989418776
F00,1,-0.282613,0.769704,15.40625,1,0.1600213489756918
F00,1,-0.287408,0.768289,15.4375,1,0.15998159894187863
F00,1,-0.292204,0.766874,15.46875,1,0.16001229072793247
F00,1,-0.296999,0.765459,15.5,1,0.1599815989418776
F00,1,-0.301795,0.764043,15.53125,1,0.1600213489756901
F00,1,-0.30659,0.762628,15.5625,1,0.15998159894187863
F00,1,-0.311386,0.761213,15.59375,1,0.16001229072793144
F00,1,-0.316181,0.759797,15.625,1,0.1599906589273267
F00,1,-0.320977,0.758382,15.65625,1,0.16001229072793144
F00,1,-0.325772,0.756967,15.6875,1,0.15998159894187863
F00,1,-0.330568,0.755552,15.71875,1,0.16001229072792975
F00,1,-0.335363,0.754136,15.75,1,0.1599906589273274
F00,1,-0.340159,0.752721,15.78125,1,0.16001229072793074
F00,1,-0.344954,0.751306,15.8125,1,0.1599815989418776
F00,1,-0.34975,0.749891,15.84375,1,0.16001229072793247
F00,1,-0.354545,0.748475,15.875,1,0.1599906589273257
F00,1,-0.359341,0.74706,15.90625,1,0.16001229072793247
F00,1,-0.364136,0.745645,15.9375,1,0.1599815989418776
F00,1,-0.368932,0.744229,15.96875,1,0.1600213489756901
F00,1,-0.373728,0.742814,16.0,1,0.16001229072793247
F00,1,-0.37535,0.742335,16.03125,1,0.05411998521803242
F00,1,-0.37535,0.742335,16.0625,1,0.0
F00,1,-0.37535,0.742335,16.09375,1,0.0
F00,1,-0.37535,0.742335,16.125,1,0.0
F00,1,-0.37535,0.742335,16.15625,1,0.0
F00,1,-0.37535,0.742335,16.1875,1,0.0
F00,1,-0.37535,0.742335,16.21875,1,0.0
F00,1,-0.37535,0.742335,16.25,1,0.0
F00,1,-0.375373,0.742335,16.28125,1,0.0007359999999998479
F00,1,-0.375375,0.742335,16.3125,1,6.4000000000064e-05
F00,1,-0.378683,0.742331,16.34375,1,0.10585607738812094
F00,1,-0.383683,0.742325,16.375,1,0.16000011519995866
F00,1,-0.388683,0.742318,16.40625,1,0.16000015679992333
F00,1,-0.393683,0.742312,16.4375,1,0.1600001151999587
F00,1,-0.398683,0.742306,16.46875,1,0.16000011519995866
F00,1,-0.403683,0.742299,16.5,1,0.16000015679992333
F00,1,-0.408683,0.742293,16.53125,1,0.1600001151999587
F00,1,-0.413683,0.742287,16.5625,1,0.16000011519995866
F00,1,-0.418683,0.74228,16.59375,1,0.16000015679992333
F00,1,-0.423683,0.742274,16.625,1,0.1600001151999569
F00,1,-0.428683,0.742268,16.65625,1,0.16000011519995866
F00,1,-0.433683,0.742261,16.6875,1,0.16000015679992333
F00,1,-0.438683,0.742255,16.71875,1,0.16000011519995866
F00,1,-0.443683,0.742249,16.75,1,0.16000011519995866
F00,1,-0.448683,0.742242,16.78125,1,0.16000015679992333
F00,1,-0.453683,0.742236,16.8125,1,0.16000011519995866
F00,1,-0.455385,0.742234,16.84375,1,0.05446403760280664
F00,1,-0.455388,0.742234,16.875,1,9.600000000098419e-05
F00,1,-0.455388,0.742234,16.90625,1,0.0
F00,1,-0.455388,0.742234,16.9375,1,0.0
F00,1,-0.455388,0.742234,16.96875,1,0.0
F00,1,-0.455388,0.742234,17.0,1,0.0
F00,1,-0.455388,0.742234,17.03125,1,0.0
F00,1,-0.455388,0.742234,17.0625,1,0.0
F00,1,-0.455388,0.742234,17.09375,1,0.0
F00,1,-0.455388,0.742234,17.125,1,0.0
F00,1,-0.455388,0.742234,17.15625,1,0.0
F00,1,-0.455388,0.742234,17.1875,1,0.0
F00,1,-0.455388,0.742234,17.21875,1,0.0
F00,1,-0.455388,0.742234,17.25,1,0.0
F00,1,-0.455388,0.742234,17.28125,1,0.0
F00,1,-0.455388,0.742234,17.3125,1,0.0
F00,1,-0.455388,0.742234,17.34375,1,0.0
F00,1,-0.455388,0.742234,17.375,1,0.0
F00,1,-0.455388,0.742234,17.40625,1,0.0
F00,1,-0.455388,0.742234,17.4375,1,0.0
F00,1,-0.455388,0.742234,17.46875,1,0.0
F00,1,-0.455388,0.742234,17.5,1,0.0
F00,1,-0.455388,0.742234,17.53125,1,0.0
F00,1,-0.455388,0.742234,17.5625,1,0.0
F00,1,-0.455388,0.742234,17.59375,1,0.0
F00,1,-0.455388,0.742234,17.625,1,0.0
F00,1,-0.455388,0.742234,17.65625,1,0.0
F00,1,-0.455388,0.742234,17.6875,1,0.0
F00,1,-0.455388,0.742234,17.71875,1,0.0
F00,1,-0.455388,0.742234,17.75,1,0.0
F00,1,-0.455388,0.742234,17.78125,1,0.0
F00,1,-0.455388,0.742234,17.8125,1,0.0
F00,1,-0.455388,0.742234,17.84375,1,0.0
F00,1,-0.455388,0.742234,17.875,1,0.0
F00,1,-0.455388,0.742234,17.90625,1,0.0
F00,1,-0.455388,0.742234,17.9375,1,0.0
F00,1,-0.455388,0.742234,17.96875,1,0.0
F00,1,-0.455388,0.742234,18.0,1,0.0
F00,1,-0.455388,0.742234,18.03125,1,0.0
F00,1,-0.455388,0.742234,18.0625,1,0.0
F00,1,-0.455388,0.742234,18.09375,1,0.0
F00,1,-0.455388,0.742234,18.125,1,0.0
F00,1,-0.455388,0.742234,18.15625,1,0.0
F00,1,-0.455388,0.742234,18.1875,1,0.0
F00,1,-0.455388,0.742234,18.21875,1,0.0
F00,1,-0.455388,0.742234,18.25,1,0.0
F00,1,-0.455388,0.742234,18.28125,1,0.0
F00,1,-0.455388,0.742234,18.3125,1,0.0
F00,1,-0.455388,0.742234,18.34375,1,0.0
F00,1,-0.455388,0.742234,18.375,1,0.0
F00,1,-0.455388,0.742234,18.40625,1,0.0
F00,1,-0.455388,0.742234,18.4375,1,0.0
F00,1,-0.455388,0.742234,18.46875,1,0.0
F00,1,-0.455388,0.742234,18.5,1,0.0
F00,1,-0.455388,0.742234,18.53125,1,0.0
F00,1,-0.455382,0.742212,18.5625,1,0.0007297122720624643
